
GROUP INFORMATION
-----------------

Group Name                                                    Type             SID                                                Attributes                                                     
============================================================= ================ ================================================== ===============================================================
Everyone                                                      Well-known group S-1-1-0                                            Mandatory group, Enabled by default, Enabled group             
REDMOND\FS_RED-FSU_MSENG_RW                                   Group            S-1-5-21-2127521184-1604012920-1887927527-13935887 Mandatory group, Enabled by default, Enabled group             
REDMOND\balam_org_fte                                         Group            S-1-5-21-2127521184-1604012920-1887927527-14584707 Mandatory group, Enabled by default, Enabled group             
REDMOND\PADOGFOOD                                             Group            S-1-5-21-2127521184-1604012920-1887927527-18203940 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-CUSTOMERSERVICE-CSSMSCOM-READ                 Group            S-1-5-21-2127521184-1604012920-1887927527-23373495 Mandatory group, Enabled by default, Enabled group             
REDMOND\CONSUMER TOOLS SUPPORT DESK SECURITY GROUP            Group            S-1-5-21-2127521184-1604012920-1887927527-8707897  Mandatory group, Enabled by default, Enabled group             
REDMOND\ANTARES KUSTO READERS                                 Group            S-1-5-21-2127521184-1604012920-1887927527-22234993 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-DEVELOPER-READ                                Group            S-1-5-21-2127521184-1604012920-1887927527-23373633 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-AZURE-READ                         Group            S-1-5-21-2127521184-1604012920-1887927527-23324334 Mandatory group, Enabled by default, Enabled group             
REDMOND\AppPlatLensExpUsers                                   Group            S-1-5-21-2127521184-1604012920-1887927527-16413250 Mandatory group, Enabled by default, Enabled group             
REDMOND\msbombay                                              Group            S-1-5-21-2127521184-1604012920-1887927527-599206   Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-DYNAMICSPARATURE-READ                         Group            S-1-5-21-2127521184-1604012920-1887927527-23544442 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-DATAPLATFORM(SQL)-READ             Group            S-1-5-21-2127521184-1604012920-1887927527-23324447 Mandatory group, Enabled by default, Enabled group             
REDMOND\antr-aesreader                                        Group            S-1-5-21-2127521184-1604012920-1887927527-25960813 Mandatory group, Enabled by default, Enabled group             
REDMOND\VSTF_AI-SUP_READERS                                   Group            S-1-5-21-2127521184-1604012920-1887927527-17827473 Mandatory group, Enabled by default, Enabled group             
REDMOND\MIPOWERBIUSERS                                        Group            S-1-5-21-2127521184-1604012920-1887927527-19257099 Mandatory group, Enabled by default, Enabled group             
REDMOND\AIPGUsers                                             Group            S-1-5-21-2127521184-1604012920-1887927527-10119432 Mandatory group, Enabled by default, Enabled group             
REDMOND\msit-intune-users                                     Group            S-1-5-21-2127521184-1604012920-1887927527-14127239 Mandatory group, Enabled by default, Enabled group             
