
GROUP INFORMATION
-----------------

Group Name                                                    Type             SID                                                Attributes                                                     
============================================================= ================ ================================================== ===============================================================
Everyone                                                      Well-known group S-1-1-0                                            Mandatory group, Enabled by default, Enabled group             
REDMOND\msit-win10-scvpn-users                                Group            S-1-5-21-2127521184-1604012920-1887927527-15841403 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-ALLUSERS-READ                                 Group            S-1-5-21-2127521184-1604012920-1887927527-23340817 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL - SHAREPOINT-READ                  Group            S-1-5-21-2127521184-1604012920-1887927527-23340977 Mandatory group, Enabled by default, Enabled group             
REDMOND\MSNVIDRPTUSERS                                        Group            S-1-5-21-2127521184-1604012920-1887927527-7280356  Mandatory group, Enabled by default, Enabled group             
REDMOND\antr-preprod                                          Group            S-1-5-21-2127521184-1604012920-1887927527-18495894 Mandatory group, Enabled by default, Enabled group             
REDMOND\VSTelCosmosDevAcs                                     Group            S-1-5-21-2127521184-1604012920-1887927527-15597981 Mandatory group, Enabled by default, Enabled group             
REDMOND\FS_MADMAN_R                                           Group            S-1-5-21-2127521184-1604012920-1887927527-8895212  Mandatory group, Enabled by default, Enabled group             
REDMOND\WCMPCOMPETE                                           Group            S-1-5-21-2127521184-1604012920-1887927527-15949014 Mandatory group, Enabled by default, Enabled group             
REDMOND\msitngodbusers                                        Group            S-1-5-21-2127521184-1604012920-1887927527-18251719 Mandatory group, Enabled by default, Enabled group             
REDMOND\Corp_vSmartCard_Logon_Users1                          Group            S-1-5-21-2127521184-1604012920-1887927527-8783519  Mandatory group, Enabled by default, Enabled group             
REDMOND\dxdatamartread                                        Group            S-1-5-21-2127521184-1604012920-1887927527-22333898 Mandatory group, Enabled by default, Enabled group             
REDMOND\sqldsigpr                                             Group            S-1-5-21-2127521184-1604012920-1887927527-11805585 Mandatory group, Enabled by default, Enabled group             
REDMOND\BAPIAppPlatFTEPS                                      Group            S-1-5-21-2127521184-1604012920-1887927527-19973689 Mandatory group, Enabled by default, Enabled group             
REDMOND\McioPortalReadAllEGs                                  Group            S-1-5-21-2127521184-1604012920-1887927527-19136361 Mandatory group, Enabled by default, Enabled group             
REDMOND\FS_RED-FSU_O365-LIMA_R                                Group            S-1-5-21-2127521184-1604012920-1887927527-13137982 Mandatory group, Enabled by default, Enabled group             
REDMOND\cmrdbbapi                                             Group            S-1-5-21-2127521184-1604012920-1887927527-25019586 Mandatory group, Enabled by default, Enabled group             
REDMOND\antr-wpt                                              Group            S-1-5-21-2127521184-1604012920-1887927527-6439660  Mandatory group, Enabled by default, Enabled group             
REDMOND\AzureInsightsInt                                      Group            S-1-5-21-2127521184-1604012920-1887927527-23758090 Mandatory group, Enabled by default, Enabled group             
REDMOND\AZURE COMPUTE INSIGHTS PORTAL ACCESS3                 Group            S-1-5-21-2127521184-1604012920-1887927527-16477848 Mandatory group, Enabled by default, Enabled group             
REDMOND\SSLTESTING                                            Group            S-1-5-21-2127521184-1604012920-1887927527-10405300 Mandatory group, Enabled by default, Enabled group             
REDMOND\deployadmins                                          Group            S-1-5-21-2127521184-1604012920-1887927527-20866771 Mandatory group, Enabled by default, Enabled group             
REDMOND\VCROMirror                                            Group            S-1-5-21-2127521184-1604012920-1887927527-10504371 Mandatory group, Enabled by default, Enabled group             
REDMOND\OffAuthdog                                            Group            S-1-5-21-2127521184-1604012920-1887927527-14870210 Mandatory group, Enabled by default, Enabled group             
REDMOND\AZURE COMPUTE INSIGHTS PORTAL ACCESS                  Group            S-1-5-21-2127521184-1604012920-1887927527-15976400 Mandatory group, Enabled by default, Enabled group             
REDMOND\OSG_TFS_RW_REDMOND                                    Group            S-1-5-21-2127521184-1604012920-1887927527-14502920 Mandatory group, Enabled by default, Enabled group             
REDMOND\Corp_vSmartCard_Logon                                 Group            S-1-5-21-2127521184-1604012920-1887927527-8618630  Mandatory group, Enabled by default, Enabled group             
REDMOND\VSTF_CEC_Contributors                                 Group            S-1-5-21-2127521184-1604012920-1887927527-7020013  Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-O365-READ                          Group            S-1-5-21-2127521184-1604012920-1887927527-23399347 Mandatory group, Enabled by default, Enabled group             
REDMOND\ProDevPSEng                                           Group            S-1-5-21-2127521184-1604012920-1887927527-19973682 Mandatory group, Enabled by default, Enabled group             
REDMOND\antrptnot                                             Group            S-1-5-21-2127521184-1604012920-1887927527-16183354 Mandatory group, Enabled by default, Enabled group             
REDMOND\msit-intune-users-AutoVpn                             Group            S-1-5-21-2127521184-1604012920-1887927527-14127240 Mandatory group, Enabled by default, Enabled group             
REDMOND\fmazprodviewers                                       Group            S-1-5-21-2127521184-1604012920-1887927527-22861566 Mandatory group, Enabled by default, Enabled group             
REDMOND\MODWEBPUBLISHER                                       Group            S-1-5-21-2127521184-1604012920-1887927527-15663794 Mandatory group, Enabled by default, Enabled group             
REDMOND\cipemaildatareaders                                   Group            S-1-5-21-2127521184-1604012920-1887927527-22866754 Mandatory group, Enabled by default, Enabled group             
REDMOND\sirus                                                 Group            S-1-5-21-2127521184-1604012920-1887927527-1699666  Mandatory group, Enabled by default, Enabled group             
REDMOND\primepreview                                          Group            S-1-5-21-2127521184-1604012920-1887927527-14298779 Mandatory group, Enabled by default, Enabled group             
REDMOND\winfabsecsite                                         Group            S-1-5-21-2127521184-1604012920-1887927527-10820548 Mandatory group, Enabled by default, Enabled group             
REDMOND\cefteusAH                                             Group            S-1-5-21-2127521184-1604012920-1887927527-12759310 Mandatory group, Enabled by default, Enabled group             
REDMOND\VsTelCertProd                                         Group            S-1-5-21-2127521184-1604012920-1887927527-21161659 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-HOTFIXESANDUPDATES(GETKB)-READ                Group            S-1-5-21-2127521184-1604012920-1887927527-23373626 Mandatory group, Enabled by default, Enabled group             
REDMOND\WWISGA REPORTING USERS                                Group            S-1-5-21-2127521184-1604012920-1887927527-21400529 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-DYNAMICS-READ                                 Group            S-1-5-21-2127521184-1604012920-1887927527-23373623 Mandatory group, Enabled by default, Enabled group             
REDMOND\CAR_SSRS_RPT                                          Group            S-1-5-21-2127521184-1604012920-1887927527-14838511 Mandatory group, Enabled by default, Enabled group             
REDMOND\ProDevFTE                                             Group            S-1-5-21-2127521184-1604012920-1887927527-19973646 Mandatory group, Enabled by default, Enabled group             
REDMOND\CEFabricReadOnly                                      Group            S-1-5-21-2127521184-1604012920-1887927527-19052715 Mandatory group, Enabled by default, Enabled group             
REDMOND\AZURECATCRMSEARCHENGAGEMENTREADERS                    Group            S-1-5-21-2127521184-1604012920-1887927527-19384889 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-KMS-READ                                      Group            S-1-5-21-2127521184-1604012920-1887927527-23544447 Mandatory group, Enabled by default, Enabled group             
REDMOND\KUSTOFLOW                                             Group            S-1-5-21-2127521184-1604012920-1887927527-23564830 Mandatory group, Enabled by default, Enabled group             
REDMOND\antr-dev                                              Group            S-1-5-21-2127521184-1604012920-1887927527-7640037  Mandatory group, Enabled by default, Enabled group             
REDMOND\ProDevEng                                             Group            S-1-5-21-2127521184-1604012920-1887927527-19973644 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-CLOUDPLATFORMSYSTEM-READ           Group            S-1-5-21-2127521184-1604012920-1887927527-23324327 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-SHAREDSERVICES-READ                Group            S-1-5-21-2127521184-1604012920-1887927527-23340502 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-CONSUMER-READ                                 Group            S-1-5-21-2127521184-1604012920-1887927527-23324395 Mandatory group, Enabled by default, Enabled group             
REDMOND\SAWClientUsers                                        Group            S-1-5-21-2127521184-1604012920-1887927527-17175885 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-WINDEVICESBUSINESS-READ            Group            S-1-5-21-2127521184-1604012920-1887927527-23356329 Mandatory group, Enabled by default, Enabled group             
REDMOND\CloudMSBIAU                                           Group            S-1-5-21-2127521184-1604012920-1887927527-23060357 Mandatory group, Enabled by default, Enabled group             
REDMOND\HRWebSVC_FTE_RO                                       Group            S-1-5-21-2127521184-1604012920-1887927527-1924178  Mandatory group, Enabled by default, Enabled group             
FAREAST\FS_APJX-FSU_FASMJ_R                                   Group            S-1-5-21-2146773085-903363285-719344707-1726561    Mandatory group, Enabled by default, Enabled group             
EUROPE\FS_TAL-VFS-01A_ZAHACONFIGS_RW                          Group            S-1-5-21-1721254763-462695806-1538882281-3735465   Mandatory group, Enabled by default, Enabled group             
EUROPE\OMEX-OSI-RO                                            Group            S-1-5-21-1721254763-462695806-1538882281-3871084   Mandatory group, Enabled by default, Enabled group             
NORTHAMERICA\PORTICO-DYNAMICSGP-READ                          Group            S-1-5-21-124525095-708259637-1543119021-1526452    Mandatory group, Enabled by default, Enabled group             
NORTHAMERICA\PORTICO-DYNAMICSCRM-READ                         Group            S-1-5-21-124525095-708259637-1543119021-1526449    Mandatory group, Enabled by default, Enabled group             
EUROPE\FS_MUC-VFS-01A_RFL_R                                   Group            S-1-5-21-1721254763-462695806-1538882281-3337214   Mandatory group, Enabled by default, Enabled group             
NORTHAMERICA\PORTICO-DYNAMICSOTHER-READ                       Group            S-1-5-21-124525095-708259637-1543119021-1526453    Mandatory group, Enabled by default, Enabled group             
NORTHAMERICA\FS_LCS-VFS-01A_RECORDINGS_R                      Group            S-1-5-21-124525095-708259637-1543119021-1419299    Mandatory group, Enabled by default, Enabled group             
FAREAST\FS_WUX-VFS-01A_IT_R                                   Group            S-1-5-21-2146773085-903363285-719344707-1796244    Mandatory group, Enabled by default, Enabled group             
NORTHAMERICA\sleepcoachdisc                                   Group            S-1-5-21-124525095-708259637-1543119021-1519309    Mandatory group, Enabled by default, Enabled group             
FAREAST\FS_tpe-vfs-01a_tcsource_RW                            Group            S-1-5-21-2146773085-903363285-719344707-1253526    Mandatory group, Enabled by default, Enabled group             
NORTHAMERICA\VSTF_ALL_SUBMITTERS                              Group            S-1-5-21-124525095-708259637-1543119021-1695711    Mandatory group, Enabled by default, Enabled group             
FAREAST\FS_tpe-vfs-01a_Public_RW                              Group            S-1-5-21-2146773085-903363285-719344707-1260212    Mandatory group, Enabled by default, Enabled group             
EUROPE\PORTICO-DYNAMICSNAV-READ                               Group            S-1-5-21-1721254763-462695806-1538882281-3914056   Mandatory group, Enabled by default, Enabled group             
FAREAST\icomssg                                               Group            S-1-5-21-2146773085-903363285-719344707-2201402    Mandatory group, Enabled by default, Enabled group             
NORTHAMERICA\kustoappsvcux                                    Group            S-1-5-21-124525095-708259637-1543119021-1583686    Mandatory group, Enabled by default, Enabled group             
NORTHAMERICA\PORTICO-DYNAMICSAX-READ                          Group            S-1-5-21-124525095-708259637-1543119021-1526450    Mandatory group, Enabled by default, Enabled group             
NORTHAMERICA\PORTICO-DYNAMICSSL-READ                          Group            S-1-5-21-124525095-708259637-1543119021-1526451    Mandatory group, Enabled by default, Enabled group             
NORTHAMERICA\FS_MTL-VFS-01A_PGD_R                             Group            S-1-5-21-124525095-708259637-1543119021-1489786    Mandatory group, Enabled by default, Enabled group             
EUROPE\MayflowerUsers                                         Group            S-1-5-21-1721254763-462695806-1538882281-3725819   Mandatory group, Enabled by default, Enabled group             
NT AUTHORITY\Claims Valid                                     Well-known group S-1-5-21-0-0-0-497                                 Mandatory group, Enabled by default, Enabled group             
Authentication authority asserted identity                    Well-known group S-1-18-1                                           Mandatory group, Enabled by default, Enabled group             
REDMOND\XBOX_OSG_BUILDS_RO                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-14880158 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\CA FTE Users                                          Alias            S-1-5-21-2127521184-1604012920-1887927527-279132   Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_OfficeAutomationMachineAccess                     Alias            S-1-5-21-2127521184-1604012920-1887927527-2927357  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\IMML_SHOWCASE_USERS                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-18177794 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\CEG_SOURCE_RW_REDMOND                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-14575741 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Portal_O15_RW                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-6634504  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS15-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-16406718 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - MGX_FY11_CM                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-11503519 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS27-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-16897971 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SKYPE TOUCH BUILD ACCESS - RO - DOMAIN                Alias            S-1-5-21-2127521184-1604012920-1887927527-14983277 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DDELEMENTARY USERS                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-18550411 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS20-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-23758324 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\First Tier Domain Users                               Alias            S-1-5-21-2127521184-1604012920-1887927527-175772   Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AZUREWATSONSTS1-TEST                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-16421903 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQLInfra_Tools_Installs_RO                            Alias            S-1-5-21-2127521184-1604012920-1887927527-6127276  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_Office12OBTriage                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-2361615  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WSSCLSE_RSG_EU1                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-14428437 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\MULTIVAC USERS                                        Alias            S-1-5-21-2127521184-1604012920-1887927527-13342685 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WIN_PS_ARCHIVE                                        Alias            S-1-5-21-2127521184-1604012920-1887927527-13143533 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQLCL_ServicePlatform_RO                              Alias            S-1-5-21-2127521184-1604012920-1887927527-8330396  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AZUREWATSONSTSMANUAL-TEST                             Alias            S-1-5-21-2127521184-1604012920-1887927527-16477846 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AZUREBTSHAREREADER                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-22461481 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\MDSBVTRW                                              Alias            S-1-5-21-2127521184-1604012920-1887927527-12219931 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\BingTFSUsers                                          Alias            S-1-5-21-2127521184-1604012920-1887927527-7465927  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Redmond-WinPhone-WP8-Project-RW                       Alias            S-1-5-21-2127521184-1604012920-1887927527-6801451  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - MGX_FY10                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-11503510 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACM _ FTE                                             Alias            S-1-5-21-2127521184-1604012920-1887927527-11573123 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DFS_SAW_UserFolders_RW                                Alias            S-1-5-21-2127521184-1604012920-1887927527-14393979 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AZURE-SECRETSTOREWARMPATHREADONLY                     Alias            S-1-5-21-2127521184-1604012920-1887927527-22277008 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS51-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-20203045 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS-QILUSECURED3                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-17017774 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ESTS_FAULTPOINT_MODEL                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-13372724 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SM_ATH_OFC_NV                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-15582933 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\REDMOND-WP-BLUEBOX-USRSG                              Alias            S-1-5-21-2127521184-1604012920-1887927527-12362399 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DEVDIV WORK ITEMS RW                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-10464936 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - THINKWEEK_FY12                                Alias            S-1-5-21-2127521184-1604012920-1887927527-11503498 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-LAB-USERS                                Alias            S-1-5-21-2127521184-1604012920-1887927527-16029694 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG_PS_RW                                             Alias            S-1-5-21-2127521184-1604012920-1887927527-13966268 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\TEKREADY-USER                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-14611863 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQLINFRA_DAADW_RO                                     Alias            S-1-5-21-2127521184-1604012920-1887927527-13443226 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\$CSL970-88TQF8EKV9TQ                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-7657356  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS13-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-16406658 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SWITOOLS_AP_RO                                        Alias            S-1-5-21-2127521184-1604012920-1887927527-17983266 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\msit_hrepki_exception_corp                            Alias            S-1-5-21-2127521184-1604012920-1887927527-25454718 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SM_ATH_OFC_PB                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-15582905 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\TechfestSite_Viewers                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-6914254  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\BCDRMANAGER                                           Alias            S-1-5-21-2127521184-1604012920-1887927527-16991301 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WIN_BLUE_BUILDS                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-10504088 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_SPECS_O16_RO                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-9159928  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED-BPG-RW                                            Alias            S-1-5-21-2127521184-1604012920-1887927527-771043   Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_BUGS_O16_RW                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-9159781  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS24-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-16897968 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\2FA-Wave1                                             Alias            S-1-5-21-2127521184-1604012920-1887927527-16109070 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\IE TRAINING VIDEOS READ                               Alias            S-1-5-21-2127521184-1604012920-1887927527-11183468 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS5-DASHBOARDADMIN                  Alias            S-1-5-21-2127521184-1604012920-1887927527-16207732 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\HRW_SG_US_1010_ROLLUP_NEW                             Alias            S-1-5-21-2127521184-1604012920-1887927527-24977804 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\protodoc_sg                                           Alias            S-1-5-21-2127521184-1604012920-1887927527-2994625  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DDTHRESHOLD_TS                                        Alias            S-1-5-21-2127521184-1604012920-1887927527-14558703 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SKYPE_WEBCLIENT                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-14983487 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\REDMOND-WINPHONE-WPBLUE-BRONZE                        Alias            S-1-5-21-2127521184-1604012920-1887927527-10140599 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED-ATLAS-ACCESS-L                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-6052088  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\FABRIC MDS READONLY                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-20424356 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\redmond-sql-departments                               Alias            S-1-5-21-2127521184-1604012920-1887927527-2783008  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Source_O14_RO                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-6639913  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - MGX_FY11_ALL                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-11503524 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE APEX SOURCE RO                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-11068745 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\REDMOND-WINPHONE-WPBLUE-SILVER                        Alias            S-1-5-21-2127521184-1604012920-1887927527-10140583 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS-QILUSECURED-ASG-ENGINEERING                     Alias            S-1-5-21-2127521184-1604012920-1887927527-16059163 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Bugs_O15_RO                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-6634506  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OfficeBBUser                                          Alias            S-1-5-21-2127521184-1604012920-1887927527-1700934  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ICM-BASICACCESS-RED                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-8913789  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ADBUILD-RTO-R                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-12476142 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Bugs_O15_RW                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-6634522  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG_TFS_RW_3                                          Alias            S-1-5-21-2127521184-1604012920-1887927527-14332593 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WIN_BLUE_ATLAS                                        Alias            S-1-5-21-2127521184-1604012920-1887927527-9785924  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\VS PERF SCORECARD USERS SG                            Alias            S-1-5-21-2127521184-1604012920-1887927527-11806265 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ADFS ECS Users                                        Alias            S-1-5-21-2127521184-1604012920-1887927527-2547081  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\XBOX_OSG_SP_O_RW                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-14880119 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ICM-ADFS-POC                                          Alias            S-1-5-21-2127521184-1604012920-1887927527-8913610  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AZURE-SOURCE-RO                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-14395627 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Portal_O14_RO                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-6639955  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-ONEDEPLOY-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-19127866 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_Office11OBTriage                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-2361614  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS5-SEARCHER                        Alias            S-1-5-21-2127521184-1604012920-1887927527-16207738 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WINDOWS AZURE MEDIA SERVICES MONITORING               Alias            S-1-5-21-2127521184-1604012920-1887927527-9842490  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\2FA-Wave1-GroupA                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-16144255 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\$FSL970-5A6VN4HC0J9D                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-7657359  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DFS_SAW_UserProfiles_RW                               Alias            S-1-5-21-2127521184-1604012920-1887927527-14393980 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WSC-Share                                             Alias            S-1-5-21-2127521184-1604012920-1887927527-7273522  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_BUILD_RO_REDMOND                               Alias            S-1-5-21-2127521184-1604012920-1887927527-14310665 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WABT-REDDOG-R                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-19905970 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Red_Office                                            Alias            S-1-5-21-2127521184-1604012920-1887927527-2015132  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\MSFT_ENGPERMS_FTE_REDMOND                             Alias            S-1-5-21-2127521184-1604012920-1887927527-14352777 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS6-USERS                           Alias            S-1-5-21-2127521184-1604012920-1887927527-16207863 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Specs_O14_RW                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-6639894  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS2-USERS                           Alias            S-1-5-21-2127521184-1604012920-1887927527-15880961 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\XBOX_OSG_SD_RW                                        Alias            S-1-5-21-2127521184-1604012920-1887927527-14880082 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSGDESIGN-RW                                          Alias            S-1-5-21-2127521184-1604012920-1887927527-13979072 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DDRawDrop                                             Alias            S-1-5-21-2127521184-1604012920-1887927527-3237596  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENS-EXPLORER-DASHBOARD-ADMIN                         Alias            S-1-5-21-2127521184-1604012920-1887927527-15597909 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\O365_BUILD_RO_REDMOND                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-18260780 Mandatory group, Enabled by default, Enabled group, Local Group
